Point ID,area,equilibrium_x,equilibrium_y,equilibrium_z,lambda_equilibrium_x,lambda_equilibrium_y,lambda_equilibrium_z,lambda_stress_disp_xx,lambda_stress_disp_xy,lambda_stress_disp_xz,lambda_stress_disp_yy,lambda_stress_disp_yz,lambda_stress_disp_zz,Points_0,Points_1,Points_2,Points_Magnitude,pred_equilibrium_x,pred_equilibrium_y,pred_equilibrium_z,pred_stress_disp_xx,pred_stress_disp_xy,pred_stress_disp_xz,pred_stress_disp_yy,pred_stress_disp_yz,pred_stress_disp_zz,sdf,sigma_xx,sigma_xx__x,sigma_xy,sigma_xy__x,sigma_xy__y,sigma_xz,sigma_xz__x,sigma_xz__z,sigma_yy,sigma_yy__y,sigma_yz,sigma_yz__y,sigma_yz__z,sigma_zz,sigma_zz__z,stress_disp_xx,stress_disp_xy,stress_disp_xz,stress_disp_yy,stress_disp_yz,stress_disp_zz,true_equilibrium_x,true_equilibrium_y,true_equilibrium_z,true_stress_disp_xx,true_stress_disp_xy,true_stress_disp_xz,true_stress_disp_yy,true_stress_disp_yz,true_stress_disp_zz,u,u__x,u__y,u__z,v,v__x,v__y,v__z,w,w__x,w__y,w__z
863,0.00051179,-0.00392321,-0.000209338,-0.00991953,0.00835797,0.00835797,0.00835797,0.00835797,0.00835797,0.00835797,0.00835797,0.00835797,0.00835797,-0.847327,0.575023,-0.991642,1.42547,-0.00392321,-0.000209338,-0.00991953,-0.000814602,0.00198536,-0.00174052,-0.00435246,7.37049e-06,0.00149772,0.00835797,0.00167574,-0.0111546,-0.000168644,0.00265779,-0.000432778,0.000363573,0.00149951,0.0155106,-0.000548767,0.00165339,0.000259586,0.000100544,-0.00410184,-0.00136546,0.00831947,-0.000814602,0.00198536,-0.00174052,-0.00435246,7.37049e-06,0.00149772,0,0,0,0,0,0,0,0,0,-0.000342175,8.81474e-06,-0.00020222,-0.000452385,-0.000310594,0.000220387,-1.99971e-05,8.81635e-05,0.000328071,0.000438616,-8.5494e-05,5.17031e-06
864,0.00051179,-0.131234,-0.00122944,-0.0707245,0.0399927,0.0399927,0.0399927,0.0399927,0.0399927,0.0399927,0.0399927,0.0399927,0.0399927,-0.789993,-0.666618,-0.188724,1.05075,-0.131234,-0.00122944,-0.0707245,-0.0209357,0.000493333,-0.0484636,-0.0389179,0.0363956,0.000544608,0.0399927,-0.296577,7.0815,-0.0392225,0.293351,0.324491,-0.333397,3.27404,-7.27476,0.0192986,-0.157488,-0.0544764,0.501113,-0.134634,-0.379636,-3.70443,-0.0209357,0.000493333,-0.0484636,-0.0389179,0.0363956,0.000544608,0,0,0,0,0,0,0,0,0,-0.000998288,-0.000761153,0.000266208,-0.00439143,-0.000459308,-0.000653499,0.000728316,1.25402e-05,0.000277102,0.000572824,-0.000193348,-0.00106905
865,0.00051179,0.00162846,0.00422171,-0.000372797,0.123069,0.123069,0.123069,0.123069,0.123069,0.123069,0.123069,0.123069,0.123069,-0.876931,0.640649,-0.407077,1.15981,0.00162846,0.00422171,-0.000372797,-0.00542381,-0.00253543,0.00212028,-0.000633206,0.00253596,-0.00775964,0.123069,-0.0153575,0.269858,0.00369126,-0.0288245,0.00467028,-0.0200244,0.22749,-0.276157,0.0227883,-0.0151147,0.0059577,0.0595004,0.0397174,-0.0236063,-0.286618,-0.00542381,-0.00253543,0.00212028,-0.000633206,0.00253596,-0.00775964,0,0,0,0,0,0,0,0,0,-0.000622392,-6.93002e-05,-0.000507491,-0.000568422,-0.000254029,0.00051905,0.000145382,0.000154882,0.000298359,0.00038938,-6.99452e-05,-0.000122223
866,0.00051179,0.0122907,0.00996214,0.0197893,0.0598469,0.0598469,0.0598469,0.0598469,0.0598469,0.0598469,0.0598469,0.0598469,0.0598469,-0.940153,0.756769,0.072256,1.20905,0.0122907,0.00996214,0.0197893,-0.00442538,0.0120586,0.00887129,0.00958987,-0.00618375,0.0100271,0.0598469,0.393635,2.9918,-0.0627879,-0.227202,-0.221356,0.260539,0.920439,-2.78274,0.0325808,-0.239694,-0.0452387,-0.0926555,0.456934,-0.105877,-0.847573,-0.00442538,0.0120586,0.00887129,0.00958987,-0.00618375,0.0100271,0,0,0,0,0,0,0,0,0,-0.000415482,0.0015589,0.000216681,0.00196953,-0.000311399,-0.000723974,-0.000176298,-0.000285254,0.000394084,0.000724578,-0.000228971,-0.000866399
867,0.00051179,0.00187044,-0.0153249,-0.00743502,0.0908859,0.0908859,0.0908859,0.0908859,0.0908859,0.0908859,0.0908859,0.0908859,0.0908859,-0.909114,-0.165467,-0.334104,0.982595,0.00187044,-0.0153249,-0.00743502,-0.00822115,0.00047009,-0.00217763,0.000270228,0.00435788,-0.00392652,0.0908859,-0.0262033,0.233002,0.0045122,-0.0820322,-0.018874,-0.0307266,0.0563651,-0.215998,-0.0222622,0.000564124,0.00052124,-0.0336582,0.096793,-0.0201323,-0.0152718,-0.00822115,0.00047009,-0.00217763,0.000270228,0.00435788,-0.00392652,0,0,0,0,0,0,0,0,0,-0.000512652,-7.92661e-05,0.000113994,-0.00050377,-0.000316972,-6.41713e-05,-1.71038e-05,3.70748e-05,0.000330418,0.000174728,1.17164e-05,-2.7438e-05
868,0.00051179,0.00887846,-0.000774619,0.000236292,0.0707356,0.0707356,0.0707356,0.0707356,0.0707356,0.0707356,0.0707356,0.0707356,0.0707356,-0.925498,-0.929264,-0.842808,1.55898,0.00887846,-0.000774619,0.000236292,-0.00226987,0.00162272,0.000492308,-0.00118924,0.000733349,-0.000651489,0.0707356,0.00193615,-0.0106268,-0.000828318,0.00212049,-0.00265012,0.00106177,-0.00143744,0.00439847,-0.00091091,-0.0025198,-0.000214084,-0.00393949,0.00117393,-0.000805579,0.00514064,-0.00226987,0.00162272,0.000492308,-0.00118924,0.000733349,-0.000651489,0,0,0,0,0,0,0,0,0,-0.000520743,2.82094e-06,0.00032346,-0.000517754,-0.000282491,-0.000315516,-6.01119e-06,-0.000106375,0.000271007,0.000533295,0.000111568,-2.7958e-06
869,0.00051179,-0.0346065,0.00370479,-0.0301294,0.0606407,0.0606407,0.0606407,0.0606407,0.0606407,0.0606407,0.0606407,0.0606407,0.0606407,-0.689359,0.395977,-0.0275779,0.795471,-0.0346065,0.00370479,-0.0301294,-0.0267307,-0.0168348,0.00998163,-0.011925,-0.0226659,0.00991638,0.0606407,-0.879023,-4.45777,-0.309367,-2.52152,0.222629,0.205883,-7.02956,4.26975,-0.285323,-0.227264,0.364682,0.000894343,2.74508,-0.220804,7.0588,-0.0267307,-0.0168348,0.00998163,-0.011925,-0.0226659,0.00991638,0,0,0,0,0,0,0,0,0,-0.000993483,-0.00289736,-0.00157173,0.0148592,-0.000478322,-0.00169028,0.00014517,0.00515656,-0.0001738,-0.0127006,-0.00173641,0.000576972
870,0.00051179,-0.00120921,0.00170721,-0.000304883,0.0935778,0.0935778,0.0935778,0.0935778,0.0935778,0.0935778,0.0935778,0.0935778,0.0935778,-0.906422,-0.548227,0.750081,1.29799,-0.00120921,0.00170721,-0.000304883,0.000130237,-0.00167901,-0.00101929,0.00568687,0.00292766,0.00311795,0.0935778,0.000480369,-0.00913102,0.000604399,-0.00492196,-0.000530211,-0.000335045,0.0146081,0.0108704,-0.000909077,-0.000849743,-0.000879101,0.00134242,0.00406449,-9.43653e-05,-0.0156456,0.000130237,-0.00167901,-0.00101929,0.00568687,0.00292766,0.00311795,0,0,0,0,0,0,0,0,0,-0.000571936,-6.6531e-06,-0.000298713,-0.000296459,-0.000345344,0.000287967,1.41828e-05,1.47891e-05,0.000321969,0.000282915,5.69654e-06,5.41177e-06
871,0.00051179,-0.00157408,-0.00565661,-0.00187778,0.0227419,0.0227419,0.0227419,0.0227419,0.0227419,0.0227419,0.0227419,0.0227419,0.0227419,-0.977258,-0.778099,0.944513,1.56607,-0.00157408,-0.00565661,-0.00187778,-0.00717591,0.00154065,-0.00292216,0.00183578,0.00638869,0.00255915,0.0227419,0.00116105,0.00149319,-0.000316076,0.000892005,0.00116983,0.000563558,-0.000920133,-0.00108894,0.000483332,0.00202345,-0.00014216,-0.00144587,0.00274116,-0.00238821,0.00424378,-0.00717591,0.00154065,-0.00292216,0.00183578,0.00638869,0.00255915,0,0,0,0,0,0,0,0,0,-0.000571333,-2.60072e-05,-0.000288121,-0.000424627,-0.000367874,0.000300367,1.56627e-05,8.6669e-06,0.000291824,0.000401041,5.37984e-05,4.92176e-06
872,0.00051179,0.0025371,0.000158389,0.00476141,0.00911242,0.00911242,0.00911242,0.00911242,0.00911242,0.00911242,0.00911242,0.00911242,0.00911242,-0.990888,-0.145614,0.79782,1.28046,0.0025371,0.000158389,0.00476141,0.00164252,-0.0018118,0.000236595,0.0151968,-0.000241271,0.0028036,0.00911242,0.00179423,-0.020479,0.000674076,-0.00252705,-0.000322773,-0.00245419,0.0366225,0.0182647,0.00237758,0.00245837,-0.000584406,-0.000320621,-8.97045e-05,0.00199009,-0.0410633,0.00164252,-0.0018118,0.000236595,0.0151968,-0.000241271,0.0028036,0,0,0,0,0,0,0,0,0,-0.00066074,-1.2591e-05,-8.91362e-05,-0.000230265,-0.000345165,7.7759e-05,5.8097e-05,1.63901e-05,0.000299349,0.000208089,-2.46468e-05,-5.80628e-06
