Point ID,area,equilibrium_x,equilibrium_y,equilibrium_z,lambda_equilibrium_x,lambda_equilibrium_y,lambda_equilibrium_z,lambda_stress_disp_xx,lambda_stress_disp_xy,lambda_stress_disp_xz,lambda_stress_disp_yy,lambda_stress_disp_yz,lambda_stress_disp_zz,Points_0,Points_1,Points_2,Points_Magnitude,pred_equilibrium_x,pred_equilibrium_y,pred_equilibrium_z,pred_stress_disp_xx,pred_stress_disp_xy,pred_stress_disp_xz,pred_stress_disp_yy,pred_stress_disp_yz,pred_stress_disp_zz,sdf,sigma_xx,sigma_xx__x,sigma_xy,sigma_xy__x,sigma_xy__y,sigma_xz,sigma_xz__x,sigma_xz__z,sigma_yy,sigma_yy__y,sigma_yz,sigma_yz__y,sigma_yz__z,sigma_zz,sigma_zz__z,stress_disp_xx,stress_disp_xy,stress_disp_xz,stress_disp_yy,stress_disp_yz,stress_disp_zz,true_equilibrium_x,true_equilibrium_y,true_equilibrium_z,true_stress_disp_xx,true_stress_disp_xy,true_stress_disp_xz,true_stress_disp_yy,true_stress_disp_yz,true_stress_disp_zz,u,u__x,u__y,u__z,v,v__x,v__y,v__z,w,w__x,w__y,w__z
314,0.000344161,-0.0180263,-0.0170308,0.213237,0.0998177,0.0998177,0.0998177,0.0998177,0.0998177,0.0998177,0.0998177,0.0998177,0.0998177,0.672806,-0.869236,0.000182292,1.0992,-0.0180263,-0.0170308,0.213237,0.0298431,-0.0109506,0.0286713,0.039226,-0.000318527,0.0949409,0.0998177,0.0394833,0.308487,-0.0262603,0.023311,-0.121702,-1.15083,-1.50805,-0.168759,-0.00828108,-0.106816,-0.0706595,-0.457725,0.100536,0.016805,1.75254,0.0298431,-0.0109506,0.0286713,0.039226,-0.000318527,0.0949409,0,0,0,0,0,0,0,0,0,-0.000416547,0.000101997,0.000128745,0.850617,-0.00103651,-0.000500854,-8.99108e-05,0.109638,-0.544411,-0.861839,-0.110347,0.000314094
315,0.000344161,-0.0352097,0.0119711,0.361434,0.0567087,0.0567087,0.0567087,0.0567087,0.0567087,0.0567087,0.0567087,0.0567087,0.0567087,0.820815,0.882089,0.0432913,1.20569,-0.0352097,0.0119711,0.361434,0.0638901,-0.0330044,0.0305023,0.0465052,-0.0280647,0.0350445,0.0567087,2.46746,-15.807,-0.375684,1.06591,2.91686,-1.09737,-0.803199,12.9253,-0.0271079,0.348536,0.155002,-0.872271,-1.42641,0.121383,1.31404,0.0638901,-0.0330044,0.0305023,0.0465052,-0.0280647,0.0350445,0,0,0,0,0,0,0,0,0,0.0380904,0.00953308,-0.0019952,0.900339,-0.00559174,-0.00209168,-0.00302667,-0.115796,-0.676778,-0.911007,0.117066,-0.00234152
316,0.000344161,-0.161222,0.14613,-0.0956556,0.0251548,0.0251548,0.0251548,0.0251548,0.0251548,0.0251548,0.0251548,0.0251548,0.0251548,-0.418641,-0.4799,0.0425906,0.638262,-0.161222,0.14613,-0.0956556,0.0465247,-0.0169613,0.0359411,0.0692821,-0.0715275,0.0237204,0.0251548,1.82208,-14.0823,-1.34681,-1.23775,3.2479,-1.15458,-16.6045,10.9956,0.981529,11.3859,1.15411,16.4011,-10.2943,-0.0133804,0.299071,0.0465247,-0.0169613,0.0359411,0.0692821,-0.0715275,0.0237204,0,0,0,0,0,0,0,0,0,0.00248682,0.00596255,-0.014264,0.0725613,-0.0012788,0.000626243,0.00187357,-0.0220079,-0.0132285,-0.0837478,0.0328337,-0.00332879
317,0.000344161,0.0885811,0.472229,1.23375,0.0189242,0.0189242,0.0189242,0.0189242,0.0189242,0.0189242,0.0189242,0.0189242,0.0189242,0.910403,0.896731,0.0810758,1.28044,0.0885811,0.472229,1.23375,0.0119865,-0.100559,-0.0386887,0.0817838,-0.00361729,0.0818641,0.0189242,2.21122,-25.6748,-0.395418,2.8383,3.79801,-0.411978,0.270017,21.7882,-0.121247,1.52823,0.0987566,-0.561618,-4.83877,0.148627,-0.942146,0.0119865,-0.100559,-0.0386887,0.0817838,-0.00361729,0.0818641,0,0,0,0,0,0,0,0,0,0.0733218,0.00833037,-0.00337952,0.920286,-0.0102912,-0.00158026,-0.00298297,-0.120451,-0.757428,-0.924792,0.121403,-0.0016332
318,0.000344161,-0.111882,-0.0314595,0.326014,0.0538852,0.0538852,0.0538852,0.0538852,0.0538852,0.0538852,0.0538852,0.0538852,0.0538852,0.494836,-0.84156,0.0461148,0.97735,-0.111882,-0.0314595,0.326014,0.123819,-0.00829032,-0.0242844,0.0149323,-0.00265408,0.0577998,0.0538852,7.16533,-12.3019,0.862367,-0.806934,4.07367,-0.718517,-1.40644,8.34012,0.166058,1.50594,0.0641178,0.158948,-0.667543,0.069888,0.921479,0.123819,-0.00829032,-0.0242844,0.0149323,-0.00265408,0.0577998,0,0,0,0,0,0,0,0,0,0.0346276,0.027679,0.0047627,0.764189,0.00324741,0.00377807,-0.00786177,0.0912543,-0.401491,-0.771617,-0.0906397,-0.00812828
319,0.000344161,0.360598,0.210592,1.28915,0.0250654,0.0250654,0.0250654,0.0250654,0.0250654,0.0250654,0.0250654,0.0250654,0.0250654,0.814644,-0.675836,-0.0749346,1.06114,0.360598,0.210592,1.28915,0.11194,-0.0963701,-0.0564346,-0.0315877,0.0466909,0.0787796,0.0250654,-4.29951,22.4743,-1.63258,3.49728,-4.13324,-0.490936,-0.101968,-18.7016,0.372175,2.63474,-0.187642,-0.547757,-6.34261,-0.0895329,-0.639423,0.11194,-0.0963701,-0.0564346,-0.0315877,0.0466909,0.0787796,0,0,0,0,0,0,0,0,0,-0.0691581,-0.0164866,-0.00922081,0.919265,-0.0088827,-0.00806865,0.00615418,0.104833,-0.692325,-0.924738,-0.106242,0.00439747
320,0.000344161,-0.0837166,0.0843515,0.000722408,0.0305122,0.0305122,0.0305122,0.0305122,0.0305122,0.0305122,0.0305122,0.0305122,0.0305122,-0.572104,-0.477727,-0.0694878,0.748568,-0.0837166,0.0843515,0.000722408,0.0414331,-0.075475,0.0363922,-0.0553573,-0.0497586,0.00304604,0.0305122,-4.07448,0.636077,1.41203,6.0797,3.13255,-0.085275,0.133952,-3.68491,-0.569653,-1.96978,-0.164514,0.610085,-4.19427,-0.0124788,-0.744759,0.0414331,-0.075475,0.0363922,-0.0553573,-0.0497586,0.00304604,0,0,0,0,0,0,0,0,0,-0.00340916,-0.0147797,0.00801592,0.0421241,0.000432735,0.00534967,0.00226052,-0.0112721,-0.00381555,-0.0426129,0.00912936,0.0053384
321,0.000344161,-0.106233,0.0446704,-0.0139442,0.0446219,0.0446219,0.0446219,0.0446219,0.0446219,0.0446219,0.0446219,0.0446219,0.0446219,-0.444491,0.955378,0.0179939,1.05387,-0.106233,0.0446704,-0.0139442,-0.0240108,-0.000672296,0.000256538,0.0190407,-0.00329685,0.00459474,0.0446219,2.04629,4.28953,-0.0719488,-0.0164109,1.17559,1.39381,0.446259,-5.35889,-0.00323558,0.180933,0.0234544,-0.520379,-0.209193,0.00618454,0.0880642,-0.0240108,-0.000672296,0.000256538,0.0190407,-0.00329685,0.00459474,0,0,0,0,0,0,0,0,0,0.00126967,0.0077473,0.00052206,0.1059,-0.000905598,-0.00124827,-0.00228504,-0.0319052,-0.0100394,-0.0919591,0.0321068,-0.00231017
322,0.000344161,-0.0509642,-0.0101687,0.0745224,0.0823324,0.0823324,0.0823324,0.0823324,0.0823324,0.0823324,0.0823324,0.0823324,0.0823324,-0.603456,0.6806,-0.0176676,0.909773,-0.0509642,-0.0101687,0.0745224,0.0188731,-0.00992192,-0.0054512,-0.0064593,0.0122294,-0.00402701,0.0823324,-1.47778,-3.15096,-0.0782247,-0.708238,1.26564,0.192689,-0.151288,1.93629,-0.158979,0.20712,0.145091,-1.71532,0.511287,-0.0572711,1.79208,0.0188731,-0.00992192,-0.0054512,-0.0064593,0.0122294,-0.00402701,0,0,0,0,0,0,0,0,0,-0.00141756,-0.00534957,-0.000465814,0.0462378,-0.000334138,-0.000415653,0.00111778,0.000162049,-0.00301999,-0.0443654,0.00141115,0.00163849
323,0.000344161,-0.0271671,-0.0114785,0.0537352,0.0905502,0.0905502,0.0905502,0.0905502,0.0905502,0.0905502,0.0905502,0.0905502,0.0905502,-0.270487,-0.846619,-0.00944979,0.888829,-0.0271671,-0.0114785,0.0537352,0.0511698,-0.00189464,0.0219536,0.0154738,-0.0056603,0.0174527,0.0905502,-1.463,-2.15788,-0.0549523,-0.146934,0.637348,0.882566,-0.0740636,1.5477,0.0337281,0.285927,-0.103974,-0.199088,-0.127514,0.000932846,0.219416,0.0511698,-0.00189464,0.0219536,0.0154738,-0.0056603,0.0174527,0,0,0,0,0,0,0,0,0,-0.00244132,-0.00550812,0.000279773,0.1939,-0.000725308,-0.000848242,0.00179706,0.0238521,-0.0365604,-0.184855,-0.0249485,0.00164298
324,0.000344161,-0.00332892,-0.0205235,0.0109954,0.068999,0.068999,0.068999,0.068999,0.068999,0.068999,0.068999,0.068999,0.068999,-0.128616,-0.73955,-0.031001,0.75129,-0.00332892,-0.0205235,0.0109954,0.0170314,0.0420659,0.00437164,0.0391341,-0.0180723,0.024157,0.068999,-5.63979,-8.17422,0.258928,0.470254,10.0043,-0.228048,-6.09092,-1.82674,-0.0223281,-2.76929,0.323982,5.52268,2.31956,-0.0236073,0.557248,0.0170314,0.0420659,0.00437164,0.0391341,-0.0180723,0.024157,0,0,0,0,0,0,0,0,0,-0.00925464,-0.021646,0.00532546,0.281111,-0.000813099,-0.00231552,0.00655181,0.00737423,-0.0712159,-0.283348,-0.00431513,0.00647052
325,0.000344161,0.0136852,-0.0136357,0.126553,0.0300759,0.0300759,0.0300759,0.0300759,0.0300759,0.0300759,0.0300759,0.0300759,0.0300759,-0.206918,0.939737,0.0699241,0.964785,0.0136852,-0.0136357,0.126553,-0.0296817,0.0288641,-0.000520706,0.000627279,-0.015152,0.0153251,0.0300759,11.7767,15.6446,-0.503982,-1.01003,4.63435,0.728951,0.00488478,-20.2926,-0.0478818,1.49734,0.0265087,-0.166711,-0.473675,0.0173032,0.0352733,-0.0296817,0.0288641,-0.000520706,0.000627279,-0.015152,0.0153251,0,0,0,0,0,0,0,0,0,0.0156353,0.0451978,0.000212479,0.229038,-0.00345662,-0.00496366,-0.0137737,-0.0446802,-0.0472919,-0.221754,0.0447938,-0.0133743
326,0.000344161,0.0606289,0.0294172,0.0348902,0.0722643,0.0722643,0.0722643,0.0722643,0.0722643,0.0722643,0.0722643,0.0722643,0.0722643,-0.626716,0.77451,0.0277357,0.996699,0.0606289,0.0294172,0.0348902,-0.00179249,-0.00599794,0.0182836,0.00266755,0.00246251,-0.00387245,0.0722643,2.10495,6.69418,-0.0951986,0.487281,-1.57135,0.423609,-2.1577,-5.18347,0.206297,-1.09822,-0.035879,-1.52615,0.581518,0.0820173,3.64896,-0.00179249,-0.00599794,0.0182836,0.00266755,0.00246251,-0.00387245,0,0,0,0,0,0,0,0,0,0.0005216,0.00775779,-0.000190473,0.040138,-0.000475729,-0.000821493,-0.00171318,-0.00556543,-0.00178649,-0.0357191,0.00523127,-0.00236728
327,0.000344161,0.223151,0.0697452,0.497819,0.00661446,0.00661446,0.00661446,0.00661446,0.00661446,0.00661446,0.00661446,0.00661446,0.00661446,-0.263982,-0.993386,0.025698,1.02818,0.223151,0.0697452,0.497819,0.144075,-0.0384037,0.283875,0.0217708,-0.0162878,0.0264322,0.00661446,3.86887,5.48588,0.0121062,0.0197909,2.15902,1.60156,0.745577,-7.86805,5.45233e-05,-0.259845,-0.0189603,-1.41711,0.170309,0.00434324,0.173713,0.144075,-0.0384037,0.283875,0.0217708,-0.0162878,0.0264322,0,0,0,0,0,0,0,0,0,0.00448973,0.0153737,-0.00188882,0.199233,0.000809824,0.00162584,-0.00458189,0.0511482,-0.03216,-0.180379,-0.0515007,-0.00453714
328,0.000344161,-0.0528493,-0.0229784,0.29044,0.0572489,0.0572489,0.0572489,0.0572489,0.0572489,0.0572489,0.0572489,0.0572489,0.0572489,0.7044,-0.942751,0.0149759,1.17694,-0.0528493,-0.0229784,0.29044,0.0155126,-0.0206498,0.0101776,0.0434332,0.00435829,0.107091,0.0572489,1.51491,-4.34204,0.074717,-0.121055,1.22577,-1.08849,-1.97245,3.16912,-0.00146325,0.024234,-0.0639428,-0.0826179,0.119799,0.046632,1.76463,0.0155126,-0.0206498,0.0101776,0.0434332,0.00435829,0.107091,0,0,0,0,0,0,0,0,0,0.012297,0.00566042,0.000488773,0.859824,0.000728844,5.18987e-05,-0.00178182,0.119869,-0.563291,-0.870608,-0.120465,-0.00122305
329,0.000344161,0.0492611,-0.0495226,0.336734,0.0698632,0.0698632,0.0698632,0.0698632,0.0698632,0.0698632,0.0698632,0.0698632,0.0698632,0.770249,0.728854,-0.0301368,1.06086,0.0492611,-0.0495226,0.336734,0.0617159,-0.0730923,0.0211563,0.0292444,-0.0156059,0.0445191,0.0698632,-2.19124,10.3809,0.683491,-1.13854,-2.17966,-1.11438,-1.16793,-8.25054,0.0540412,-0.528771,0.269431,-0.986885,1.71684,-0.0428466,1.81808,0.0617159,-0.0730923,0.0211563,0.0292444,-0.0156059,0.0445191,0,0,0,0,0,0,0,0,0,-0.0279387,-0.0082885,0.0036112,0.898852,0.00243965,0.00249279,0.00277554,-0.1,-0.647645,-0.909784,0.102538,0.00236748
330,0.000344161,-1.01267,1.16844,1.84928,0.0129603,0.0129603,0.0129603,0.0129603,0.0129603,0.0129603,0.0129603,0.0129603,0.0129603,0.728627,0.379404,-0.0747113,0.824879,-1.01267,1.16844,1.84928,0.115875,-0.227926,0.243698,0.108532,-0.22582,-0.00588226,0.0129603,-1.3591,-32.4938,1.43988,12.0708,19.8389,0.331611,-5.71461,13.6676,-1.29399,12.0316,-0.694007,5.04936,-25.2709,-0.108016,-1.18403,0.115875,-0.227926,0.243698,0.108532,-0.22582,-0.00588226,0,0,0,0,0,0,0,0,0,-0.0723933,-0.0032824,0.022125,0.953226,0.00477864,-0.0100054,-0.00299352,-0.0662422,-0.638062,-0.947473,0.057044,0.00236426
331,0.000344161,0.175646,0.147486,0.530011,0.0260519,0.0260519,0.0260519,0.0260519,0.0260519,0.0260519,0.0260519,0.0260519,0.0260519,0.236504,-0.717439,-0.0537955,0.757328,0.175646,0.147486,0.530011,0.156489,0.0218102,0.0747032,-0.0301871,0.0011363,0.00365353,0.0260519,-12.8024,15.4158,-1.78445,-8.98822,-12.2538,-0.255984,4.75596,-3.33766,-0.59531,5.99314,0.217519,-5.96499,2.84759,-0.0553183,0.679024,0.156489,0.0218102,0.0747032,-0.0301871,0.0011363,0.00365353,0,0,0,0,0,0,0,0,0,-0.0324571,-0.0478566,-0.00965295,0.5941,-0.00287712,-0.00797342,0.0122452,0.0379226,-0.231649,-0.595913,-0.0357361,0.0151144
